,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SNORA11C,0.024796659701650306,-0.05758047968793884,2.9056837561886266,-0.01981649915112129,0.984189756048633,
ZNF41,427.4324942160582,-0.002240637926826375,0.01702000361452451,-0.1316473237945885,0.895263252270977,0.9420477315528073
LINC01560,46.65036727654103,0.007137621962299911,0.0237883433450795,0.3000470381127357,0.7641412763491432,0.8575060430538096
ARAF,913.0401383106927,0.023121048090517345,0.031034079324033587,0.7450212345307698,0.45625888307296647,0.6158819242234511
SYN1,8.23027809098902,-0.049255619907325056,0.06785572408262434,-0.7258874704122099,0.4679077582153687,0.6264765522359467
TIMP1,947.8329138710799,0.004217976694517238,0.0639690729208744,0.06593774932043492,0.9474273863530108,0.9722903776021138
MIR4769,0.0030512793124728363,-0.16332733497035976,2.9064163207707363,-0.0561954369039078,0.9551861162437246,
CFP,102.73551558697733,0.23759477199746884,0.09909129997958137,2.3977359470147968,0.01649675257124534,0.04905276190590729
ELK1,272.19322396577377,0.05445682293042148,0.02328438936049619,2.3387696403501907,0.019347358756926804,0.055916388809591065
UXT,520.0158092776933,0.014724904563229892,0.041155536897909684,0.3577867201625009,0.720502929385748,0.8279887132395533
UXT-AS1,101.30436789592272,0.04890964957244456,0.05149467994117225,0.9498000497977493,0.34221386058578396,0.5058500336334452
CXXC1P1,0.1567783097347313,-0.015149799911943512,0.48628523598913265,-0.0311541432696963,0.9751466105148778,
ZNF81,251.9994233291925,-0.01715260931861474,0.03395605930945926,-0.5051413405275941,0.6134595670584411,0.7476784703579061
ZNF182,354.1927082088471,0.07817150716271462,0.025736386410200447,3.037392504012602,0.0023863450173082666,0.00975038684638855
SPACA5,3.125896610092496,0.22779957436804094,0.0963414300610153,2.364502729757801,0.018054294299535537,0.052821215428584575
ZNF630-AS1,5.051287131554859,0.1223554768843399,0.07193503607369794,1.7009163206505642,0.0889587014930541,0.18608019044411672
ZNF630,41.70970774896817,0.11081152056036488,0.04038362855064709,2.7439713700167063,0.006070083162987326,0.021377596119690704
SSX6P,0.25036083958814115,-0.24843565280230304,0.5431678060657379,-0.45738287510404413,0.6473958709941796,
SPACA5B,1.8069837756571765,0.27547635127277487,0.11738658793713844,2.3467446844974735,0.0189382269197487,0.054965594036373
SSX5,0.08059893934130236,-0.08832563094863849,0.8103882974505848,-0.10899174041197741,0.9132090415035174,
SSX1,0.11265512357410143,-0.08832046792021439,0.7489626021793004,-0.11792373566213205,0.906128086125495,
SSX9P,0.010185353836139525,-0.20815574502983694,2.9060925993236424,-0.071627361453755,0.9428984647048532,
SSX3,0.04797434022964269,-0.10329459582964695,1.2583201690189276,-0.08208927932084446,0.9345757182140101,
SSX4,0.12469866765780588,-0.027583347601134667,0.5707085524947916,-0.04833175791839285,0.9614518449615378,
